drug_name,count,generic_name,atc_code,confidence,method
kogimin,187,,,,
kutab,165,,,,
laci-eye,1016,artificial tears,S01XA20,medium,manual_dict
lacikez,1049,lansoprazole,A02BC03,high,manual_dict
lacisartan hct,3279,losartan,C09CA01,high,manual_dict
lacosepicyn,307,,,,
lacosoxicron,78,,,,
lacves,80,,,,
lambertu,23,,,,
lanam sc,27,,,,
lantus solostar+4 đầu kim pen ndl,7,,,,
leminerg,11,clemastine,D04AA14,fuzzy_0.67,fuzzy_match
lepigin,23,lepirudin,B01AE02,fuzzy_0.75,fuzzy_match
leracet 500mg film-coated tablets,4,,,,
lercatop,34,,,,
letarid 50,36,levetiracetam,N03AX14,high,manual_dict
levistel,11,levamisole,P02CE01,fuzzy_0.67,fuzzy_match
levodhg,15,levodopa,N04BA01,fuzzy_0.67,fuzzy_match
levothyrox,166,levothyroxine sodium,H03AA01,fuzzy_0.67,fuzzy_match
levpiram,268,levetiracetam,N03AX14,fuzzy_0.67,fuzzy_match
lifecita,1,,,,
linatab tablet,94,,,,
linezin,8,linezolid,J01XX08,fuzzy_0.75,fuzzy_match
linezolid krka,2,linezolid,J01XX08,high,manual_dict
lipagim,570,,,,
lipanthyl 200m,659,fenofibrate,C10AB05,high,manual_dict
lipanthyl nt,5,fenofibrate,C10AB05,high,manual_dict
lipidorox,253,,,,
lipitor,202,atorvastatin,C10AA05,high,manual_dict
lirystad 150,1,,,,
